,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
카드,26.131532788276672,35.930159002542496,73.25300493836403,48.572425186634064,18.93760457634926,26.671180844306946,22.81937050819397,258.35375985503197,27.83110699057579,21.025968313217163,51.7215930223465,18.341451972723007,25.53027433156967,87.25450110435486,25.803513824939728,22.211766719818115,112.91954311728477,42.72645628452301,14.644513428211212,51.60683813691139,21.040523767471313,31.585167169570923,12.770668923854828,67.20468717813492,151.63419431447983,62.66599202156067,8.210262537002563,101.3328304886818,77.96420085430145,8.748273700475693,7.497113645076752,9.267323166131973,152.92332276701927,85.45484620332718,41.7308988571167,35.22166460752487,213.7650074660778,27.140173822641373,78.07249391078949,17.714299261569977,95.15186285972595,37.99248123168945,14.673377752304077,17.975564420223236,161.1117381155491,60.771209716796875,67.40017610788345,35.18325483798981,90.89924561977386,59.80321305990219,12.31705567240715,47.07911992073059,32.50386142730713,80.12358143925667,95.03324276208878,25.69576919078827,16.2769433259964,21.099678069353104,80.11612629890442,123.04004460573196,44.52468001842499
확인,15.999292280524969,29.83393870294094,45.86932456120849,29.39229019358754,22.41533599793911,18.89559544622898,10.960658557713032,140.05106848478317,26.068169504404068,10.439186237752438,20.081179220229387,16.348210707306862,11.142754305154085,62.96420741453767,29.107841670513153,14.916881408542395,64.99030186980963,19.987693049013615,14.911402881145477,41.96401498839259,10.293141674250364,24.00076162815094,13.587606623768806,19.505914852023125,109.94796678051353,22.490134427323937,7.835960030555725,64.90811950340867,30.54414216428995,13.540762662887573,9.771498501300812,14.24538367986679,104.6784636490047,29.252568744122982,42.30882079899311,27.543324183672667,111.86151414550841,21.47513258457184,35.20895999670029,12.756685003638268,66.97406476177275,18.446644950658083,9.319909323006868,13.545077383518219,111.60289542749524,27.591099690645933,42.0128983668983,33.44667908549309,60.29810140654445,24.7974711433053,14.752212405204773,47.1963512301445,26.802643850445747,56.961967661976814,47.16208332777023,19.169670671224594,12.617903098464012,17.583957836031914,64.74166706204414,80.74083482846618,15.673548175022006
한번,25.303314566612244,36.49408304691315,73.25215807557106,47.815628439188,19.207149267196655,26.753352880477905,21.193118929862976,261.01244336366653,28.820729911327362,19.706335604190826,49.46928292512894,18.478068083524704,23.898797929286957,89.45323583483696,26.73103901743889,21.59732300043106,114.4103030860424,40.78310298919678,14.897029042243958,53.33993652462959,19.577830612659454,31.880867213010788,12.790438115596771,62.62507563829422,157.85324922204018,58.51886135339737,8.304267525672913,102.10295251011848,75.17154097557068,8.676713109016418,7.541795551776886,9.25884997844696,158.12007397413254,81.01030969619751,43.80946823954582,35.744849264621735,214.6138635277748,27.18329855799675,75.67013162374496,17.39596551656723,97.98004418611526,35.93380105495453,14.038782238960266,17.719832956790924,166.73085141181946,58.30659610033035,67.93939939141273,36.546389043331146,92.90731081366539,57.62597453594208,12.75432950258255,50.04849377274513,33.3373045027256,83.51288914680481,93.38997569680214,27.556021690368652,16.189789652824402,21.393700063228607,82.97647726535797,126.41835826635361,41.93385398387909
트랩,23.890128672122955,39.87587916851044,73.12613558769226,46.906042635440826,23.238255083560944,27.721965968608856,17.714475691318512,254.01000261306763,32.7311589717865,17.03661996126175,41.86425852775574,21.17130208015442,19.799458980560303,94.4602016210556,32.60278809070587,21.291943728923798,112.86788874864578,36.126926958560944,17.79121232032776,58.92504942417145,16.48783451318741,34.49738699197769,15.357240796089172,49.37505850195885,169.9463854432106,47.7850147485733,9.548699080944061,103.91352391242981,65.52210515737534,11.628441154956818,9.463293552398682,12.451404094696045,165.93753039836884,66.76590821146965,51.181162893772125,39.24763137102127,206.0174636244774,29.096243798732758,67.62672865390778,17.367242753505707,101.84487348794937,31.175821125507355,13.490315973758698,18.44709074497223,175.8674469590187,52.02033859491348,68.22656095027924,42.873553454875946,95.93368804454803,50.91745674610138,16.16599315404892,59.776183903217316,36.95255118608475,88.7739040851593,88.05301961302757,31.226460993289948,16.86740493774414,23.726366817951202,92.11343938112259,131.22565752267838,34.15042895078659
영웅,25.668821036815643,38.18204581737518,74.61345255374908,48.56873881816864,20.893699645996094,27.5279381275177,21.047931790351868,262.5116777420044,30.373309016227722,19.59208595752716,48.552148938179016,19.58812975883484,23.552074909210205,91.90108931064606,28.908793330192566,22.043413817882538,115.33564168214798,40.52020525932312,15.964384496212006,55.57665729522705,19.436833441257477,33.022400081157684,13.811330318450928,60.67772305011749,162.47222512960434,57.23498499393463,8.792925477027893,104.01740211248398,74.02366364002228,9.862844705581665,8.332116484642029,10.517691493034363,161.6761353611946,79.00465339422226,46.426623463630676,37.15870726108551,214.97415322065353,28.223705530166626,75.28609043359756,17.942337572574615,100.24205607175827,35.78076106309891,14.323019683361053,18.390438437461853,170.8243643641472,58.03131705522537,68.87778639793396,38.81934106349945,95.01326936483383,56.9555002450943,13.96028983592987,53.30515170097351,34.89475202560425,85.55282437801361,93.49276930093765,28.492525339126587,16.82525634765625,22.434491753578186,86.38902097940445,128.8303775191307,41.028603315353394
리볼버,24.567140728235245,30.875758960843086,67.71529731154442,44.96807798743248,14.572161540389061,23.780617833137512,22.50100365281105,244.43090003728867,23.535354048013687,20.49689021706581,51.745873153209686,15.139456778764725,25.47047260403633,77.87750917673111,20.002959325909615,20.16107240319252,105.76449725031853,41.589192152023315,11.531651139259338,44.543110728263855,20.726031452417374,27.49152034521103,9.990468263626099,68.83863851428032,134.8942832350731,62.96493482589722,6.682513117790222,92.5252585709095,77.21743914484978,5.793029919266701,5.4590765833854675,6.1413393169641495,138.13181748986244,86.17725741863251,34.40387690067291,30.411824584007263,203.24147394299507,23.834218502044678,76.40961515903473,16.050789386034012,85.94014394283295,37.14933079481125,13.510451555252075,15.867517590522766,144.99963608384132,59.139059126377106,61.98372220993042,28.72578303515911,82.75483599305153,58.82387229800224,9.151130497455597,38.14102126657963,27.929002434015274,71.86287140846252,90.7563202381134,22.193159073591232,14.447852820158005,18.010028153657913,69.0762445628643,111.7373728454113,45.208180993795395
런칭,23.491575181484222,38.62942507863045,72.25796681642532,45.946276903152466,22.052844017744064,26.952455550432205,17.475235730409622,253.73970821499825,32.187710016965866,16.812470972537994,41.93933805823326,20.27445897459984,19.71577876806259,93.24701744318008,31.220342725515366,20.664731055498123,112.54476335644722,35.70151278376579,16.87765410542488,57.73280492424965,16.320265352725983,33.593370109796524,14.573359340429306,49.420703649520874,168.3722090125084,47.403091073036194,9.107737809419632,102.38355860114098,65.35341772437096,10.668500930070877,8.857573360204697,11.455237656831741,164.80441159009933,66.77788850665092,50.31051403284073,38.21674320101738,205.69576951861382,28.417074024677277,67.33464306592941,16.89348354935646,100.91152811050415,30.709512621164322,13.020358949899673,17.80088034272194,174.24882239103317,51.329977095127106,67.33289501070976,41.38595828413963,94.90033847093582,50.60762110352516,15.308785647153854,58.17076560854912,35.97333100438118,88.19209218025208,87.20011875033379,30.96795117855072,16.430600732564926,22.922161906957626,90.1961040198803,129.99640679359436,34.23773318529129
울타리,25.623636543750763,39.32077658176422,75.39188146591187,48.979761838912964,22.117876827716827,28.018059611320496,20.465006709098816,263.2022162079811,31.509578108787537,19.274515211582184,47.44589978456497,20.52668309211731,22.914194881916046,93.84606736898422,30.620269238948822,22.307090163230896,116.04966694116592,39.980704843997955,16.844569444656372,57.47641372680664,18.995885610580444,34.10688042640686,14.696243345737457,58.65538662672043,166.52545356750488,55.703874468803406,9.181409895420074,105.58712124824524,72.82542312145233,10.747691810131073,8.876794993877411,11.462966859340668,164.67157912254333,76.85884153842926,48.438481628894806,38.577417731285095,215.13950848579407,28.977334797382355,74.22113734483719,18.087250232696533,101.64947825670242,35.11813294887543,14.44454550743103,18.77704608440399,174.2764629125595,57.46374720335007,69.69612914323807,40.688535153865814,96.38357120752335,56.18343144655228,14.967086672782898,55.96295976638794,36.04071670770645,87.28893953561783,93.48053812980652,29.62812089920044,17.143142819404602,23.257301151752472,89.52006435394287,131.0802128314972,39.812117755413055
공동묘지,23.75876873731613,39.232168555259705,72.57120418548584,46.37513613700867,22.6856107711792,27.300364792346954,17.625196009874344,253.39371040463448,32.8250914812088,16.967472791671753,41.697600811719894,20.86974346637726,19.739748656749725,94.32005697488785,32.001966297626495,20.89805155992508,112.53892141580582,35.96103271842003,17.40479451417923,58.35032719373703,16.40951317548752,34.246867418289185,14.993776440620422,49.03342694044113,169.95075464248657,47.32486838102341,9.36520004272461,103.28862872719765,65.17265650629997,11.200430393218994,9.195837140083313,12.002108335494995,165.87003445625305,66.28414353728294,51.54649442434311,38.85711419582367,205.4118209183216,29.153807401657104,67.1385617852211,17.043207347393036,101.2607752084732,30.778632074594498,13.153030633926392,18.08477747440338,175.17978769540787,51.372782707214355,67.70468014478683,42.3110955953598,95.479307949543,50.60653176903725,15.848737001419067,59.11975818872452,36.706218957901,88.55172747373581,87.67337545752525,31.321963012218475,16.632260739803314,23.391188383102417,91.27707016468048,130.8864797949791,33.890018463134766
보충,24.97390305995941,36.79555204510689,73.67233577370644,47.86382681131363,19.35292387008667,26.77803725004196,20.462524116039276,262.11912006139755,29.452500611543655,19.282850325107574,48.598495066165924,19.01965621113777,23.21814614534378,90.47634613513947,27.29371502995491,21.383953511714935,114.91501480340958,40.23548340797424,15.248530924320221,54.383679151535034,19.003034055233,32.555543184280396,13.169576972723007,61.21656894683838,161.15861815214157,57.1011443734169,8.419239223003387,103.05880147218704,74.54013139009476,8.734038412570953,7.566286325454712,9.357742249965668,160.32001584768295,79.30830246210098,44.828240633010864,36.697171092033386,214.94203925132751,27.660783231258392,74.93787825107574,17.14540582895279,98.20813459157944,35.0508719086647,13.896788418293,17.747554004192352,169.15033501386642,57.736362278461456,68.19517582654953,37.55356043577194,93.88573521375656,57.21609193086624,13.186122715473175,51.50214436650276,34.04700571298599,84.68277609348297,93.76603090763092,28.684973061084747,16.188977360725403,21.824889183044434,84.94848915934563,128.08233124017715,41.00789165496826
