id,genre,title,actor,director
100,스릴러,아가씨,김민희/김태리/하정우,박찬욱
200,스릴러,친절한 금자씨,이영애/최민식,박찬욱
300,범죄/드라마,올드 보이,최민식/유지태/강혜정,박찬욱
400,범죄/스릴러,살인의 추억,송강호/김상경,봉준호
500,액션/드라마,설국열차,송강호,봉준호
600,범죄/미스터리,마더,김혜자/원빈,봉준호
