,타이틀번호,요일,제목,링크
36,698918,tue,원주민 공포만화,https://shared-comic.pstatic.net/thumb/webtoon/698918/thumbnail/thumbnail_IMAG10_1ffbcabb-b5fd-41d8-9500-faaee1d3cbb4.jpg
37,683496,tue,신도림,https://shared-comic.pstatic.net/thumb/webtoon/683496/thumbnail/title_thumbnail_20160805110206_t83x90.jpg
38,703307,tue,신암행어사,https://shared-comic.pstatic.net/thumb/webtoon/703307/thumbnail/thumbnail_IMAG10_0c6ab332-3b2b-4d18-bc97-b512c038087a.jpg
39,119874,tue,덴마,https://shared-comic.pstatic.net/thumb/webtoon/119874/thumbnail/title_thumbnail_20150706185233_t83x90.jpg
40,703850,tue,자판귀,https://shared-comic.pstatic.net/thumb/webtoon/703850/thumbnail/thumbnail_IMAG10_d093ab2d-a006-457b-92b5-1da097bc3af1.jpg
41,695321,tue,빙탕후루,https://shared-comic.pstatic.net/thumb/webtoon/695321/thumbnail/thumbnail_IMAG10_ed636544-e826-4b9b-96f2-fce37c9f8e54.jpg
42,602287,tue,신의 언어,https://shared-comic.pstatic.net/thumb/webtoon/602287/thumbnail/thumbnail_IMAG10_9c263219-ce76-4050-8af8-0f3c1853a36d.jpg
43,711422,tue,삼국지톡,https://shared-comic.pstatic.net/thumb/webtoon/711422/thumbnail/thumbnail_IMAG10_c2333dc0-c699-41e4-8507-6b4bcd16b903.jpg
44,682637,tue,놓지마 정신줄 시즌2,https://shared-comic.pstatic.net/thumb/webtoon/682637/thumbnail/title_thumbnail_20160729190602_t83x90.jpg
45,675554,tue,가우스전자 시즌3~4,https://shared-comic.pstatic.net/thumb/webtoon/675554/thumbnail/thumbnail_IMAG10_66613407-1041-4f4f-ad8a-1983361f932e.jpg
46,710750,tue,악마와 계약연애,https://shared-comic.pstatic.net/thumb/webtoon/710750/thumbnail/thumbnail_IMAG10_3a696e07-a3a3-4f68-b532-f34172091ab1.jpg
47,713871,tue,고교생활기록부,https://shared-comic.pstatic.net/thumb/webtoon/713871/thumbnail/thumbnail_IMAG10_035809e3-07c0-4647-bb04-7dda6b322ef9.jpg
48,703852,tue,바른연애 길잡이,https://shared-comic.pstatic.net/thumb/webtoon/703852/thumbnail/thumbnail_IMAG10_be0db503-bd1a-4a2a-8cb3-6601ec3e929e.jpg
