lbrry_name,code_value,address,fdrm_close_date,phone,latitude,longitude
LH강남3단지작은도서관,강남구,서울특별시 강남구 자곡로3길 22,"매주 화요일,목요일",02-459-8700,37.46997231,127.0910208
강남구립못골도서관,강남구,서울시 강남구 자곡로 116,"매월 둘째, 넷째 화요일 및 일요일을 제외한 법정공휴일",02-459-5522,37.47153836,127.096582
강남역삼푸른솔도서관,강남구,서울특별시 강남구 테헤란로8길 36. 4층,"2,4 주 화요일 및 법정 공휴일",02-2051-1178,37.4964968,127.0320274
강남한신휴플러스8단지작은도서관,강남구,"서울특별시 강남구 밤고개로27길 20(율현동, 강남한신휴플러스8단지)",,,37.46971323,127.1130164
강남한양수자인작은씨앗도서관,강남구,서울특별시 강남구 자곡로 260,매주 일요일,,37.47586067,127.1134903
