,명사,형용사,동사
긍정,프랭크/업데이트/모드/점검/재미/정도/진짜/레온/사정거리/스킨/계속/플레이/속도/신규/상자/슈퍼셀/현질/트로피/패치/생각/버프/궁극/크로우/유저/다운/브롤/완전/브롤러/희귀/실행/사람/특수/로사/리모/친구/전설/스타즈/밸런스/너프/확률/전투/다시/조금/제발/캐릭터/공격/리기/최근/정말/엘프/처음/콜트/사기/게임,입니다/재미있어요/있는/좋고/있어요/있어서/있습니다/좋겠어요/있고/좋겠습니다/재미있습니다,감사하겠습니다/해주세요/하고/만들어/합니다/해요/하면/주세요/하는
부정,스타/새끼/관리/콜트/똑바로/기본/사거리/겨우/이기/과금/버튼/신화/발리/플레이/개선/접속/이후/이름/삭제/개판/계정/네트워크/문의/파워/사기/핸드폰/시간/브롤러/갑자기/제발/안주/리뷰/한판/변경/거의/닉네임/채팅/밸런스/수준/스타즈/마다/정말/다운/근접/영웅/기능/전설/부터/데이터/사람/유저/캐릭/수정/패치/친구/오류/망겜/인터넷/인지/결제/확률/해도/상자/소리/한번/해결/추가/시작/현상/방법/크로우/다시/브롤/환불/그냥/신규/연결/레벨/캐릭터/쓰레기/생각/보석/모드/플레이어/자꾸/때문/클래시/랜덤/하나/지연/정도/점수/우리/버그/바로/서버/신고/이나/계속/로사/진짜/상대/티밍/와이파이/트로피/슈퍼셀/문제/매칭/업데이트/게임,같아요/없에/안되고/아니고/없어서/아니면/솔직히/아니/어떻게/있고/있는/입니다/이런/없음/같네/없습니다/없고/그런/없는데/있는데/없는/좋은/같은,샀는데/나오고/나와요/나온/고쳐주세요/하세요/하다/만든/하기/하게/끊김/주세요/쓰고/했는데/맞고/지는/주고/해도/뜨면서/해주세요/해서/나와서/하고/하면/합니다/하냐/건지/보다/보면/하지/걸리고/하는/해라/하는데
복합,수준/연동/체험/인생/최대/기능/랜덤/수도/로얄/상자/개인/피해/참고/마음/심지어/변경/특수/아무/연결/듀오/커서/스킬/희귀/데미지/콜트/최근/갤럭시/상황/주시/뉴비/감소/네트워크/기도/페니/약간/잘만/스킨/인정/만약/구입/벨런스/무조건/방법/보상/신화/보고/솔로/성은/그거/개도/삭제/모두/재미/그게/님들/그때/항상/표시/모든/빵빵/최고/발생/서버/클래시/아이/부분/이후/설정/스타즈/스파이크/신고/이기/로사/제시/채팅/마다/일단/아예/유저/쉘리/불구/신규/이상/정도/처럼/토큰/다음/플레이/유도/때문/상대/파워/밸런스/공격/오늘/접속/레온/한가지/계정/해결/가지/가끔/시간/확률/화가/이번/점수/사용/다만/스타/버튼/과금/트롤/잠수/데이터/이점/시작/하나/현질/이름/티밍/와이파이/이유/해주시/추가/개선/제대로/버그/보석/진짜/너프/브롤/갑자기/아주/망겜/이나/자주/이제/한번/설치/조금/다시/현상/화면/레벨/정말/하라/브롤러/핸드폰/쿠폰/자체/문제/기본/자꾸/제일/실력/상태/심해/제발/랭크/친구/플레이어/매칭/경우/다운/처음/생각/업데이트/캐릭터/해도/패치/슈퍼셀/게임/계속/모드/바로/트로피/그냥/사람/캐릭/거의,안녕하세요/재미있게/새로/힘들어요/솔직히/아님/좋고/재밌습니다/재미있습니다/아닌/있어/부탁드려요/좋겠네요/다른건/재미있어요/새로운/같네요/있음/좋겠습니다/좋아요/있어서/재밌고/좋습니다/있네요/재미있고/재미있는데/없습니다/좋은데/그래도/작러/없음/어떻게/있는데/재밌는데/있어요/좋아하는/같은/있다/좋겠어요/있고/재밌게/많은/같아요/없어서/아니면/없어요/그럼/있는/있으면/같습니다/있습니다/재미있는/아니라/재밌어요/이런/입니다/없고/없는/그런/부탁드립니다/좋은/아니,하고있는/나온/하기/나오는/나올/겁니다/해야/빼고/주세요/깠는데/들이/올려주세요/되면/해요/할게요/들어/뜨고/떨어지고/할수/바랍니다/했던/나왔어요/됩니다/해주시면/만들어주세요/감사하겠습니다/뜨게/걸리고/되는/하지/되어/맞고/감사합니다/하여/하면서/고쳐주세요/바꾸고/하게/해주세요/하는데/하면/않고/하는/해도/했는데/해서/만들어/합니다/하고/하다가/고쳐/마세요/하다/나와서/겁나/보면/하네요/하세요/보다
