,명사,형용사,동사
긍정,확률/업데이트/아주/브롤러/현질/캐릭터/스타즈/신규/스킨/정말/레드/비비/제발/정도/화이팅/퍼셀/너프/완전/엠즈/레온/크로우/로사/상자/전설/다음/진짜/다운로드/트로피/게임/슈퍼셀/브롤/와이파이/최고,좋겠어요/입니다/아니/좋은/재미있어요/좋고/새로운/재밌어요/좋아요,주세요/하는데/해주세요/감사합니다/만들어/나오고/나와서/하고
부정,점점/아주/동생/스타즈/리기/무안/특수/본능/업데이트/재미/쓰레기/오토/영웅/과금/관리/큐브/오늘/붕괴/제대로/기본/저희/아이/사용/퍼셀/비비/상황/부터/주기도/자꾸/기분/이유/친구/이벤트/판정/움직/노잼/스트레스/데이터/버튼/기준/그것/운영/소리/벨런스/닉네임/문제/유도/하나/랭크/신화/래드/확률/보고/차이/캐릭/다운/코인/경우/신규/무슨/점수/트롤/스킨/개도/기능/매우/콜트/처럼/정도/시스템/이동/신고/스파이크/실력/데미지/수정/처음/버그/추가/로사/최악/해도/상태/티스/시간/현질/이상/제발/때문/레온/모드/티밍/이나/쉘리/레드/밸런스/사기/크로우/사람/거의/망겜/플레이/우리/계속/공격/유저/시작/너프/계정/와이파이/매칭/레벨/그냥/방법/가요/이름/리뷰/해결/바로/서버/패치/생각/부탁/삭제/보석/스타/상자/엠즈/상대/전설/비트/캐릭터/브롤/진짜/파워/트로피/게임/슈퍼셀/브롤러,없네/좋고/안녕하세요/아님/있습니다/좋은/짜증나요/있어요/부탁드립니다/재밌게/많은데/아니고/있으면/없어요/같습니다/좋겠습니다/같네요/있는/많고/힘들게/새로운/없고/있고/없는/없음/입니다/아니면/그런/어떻게/이런/많아요/아닌/없는데/비슷한/있어/솔직히/같아요/같은/있는데/아니,해요/됩니다/해주시면/고쳐주시면/고쳐주세요/건지/깠는데/주세요/올려주세요/고쳐라/나오지/되고/되서/뜨고/나와요/파이퍼/하기/않고/하지/할수/이라/합니다/하세요/만들어/감사하겠습니다/되면/나오면/걸림/나오는/짜리/나오고/하게/까지/마세요/하면/해야/하는데/되는/인데/해주세요/하고/나와서/고쳐/돼요/하다가/걸리고/했는데/해도/해서/하는/겁나
복합,다시/슈퍼셀/위해/바로/그것/이나/가요/시스템/슈퍼/참고/밸런스/거의/엠즈/모드/스타/크로우/문제/티밍/추천/레벨/상대/트롤/랜덤/이제/레온/이상/스킨/대형/가장/랭크/유도/업데이트/신고/보상/우리/점수/스타즈/정도/버프/추가/제발/마다/사람/스파이크/기능/비트/처음/해도/조작/와이파이/신화/너프/무슨/영웅/매칭/레드/샌디/전설/서버/하나/유저/파워/티스/아무/보석/계정/생각/과금/계속/부터/수정/조금/버그/모든/버튼/현질/시작/캐릭터/공격/친구/상태/정말/브롤/브롤러/트로피/진짜/때문/확률/상자/게임,좋습니다/있으면/솔직히/있는데/재미있습니다/재밌어요/좋은/좋아요/좋고/부탁드립니다/재미있어요/어떻게/이런/좋겠어요/없어요/힘들어요/재미있고/재밌는데/아니/좋겠습니다/있는/같아요/입니다/있고/없고/있습니다/좋겠네요/재미있는데/좋음/재밌게/그런/같은/그럼/좋은데/좋을,올려주세요/합니다/깠는데/주는/나와요/감사합니다/하지만/하지/하면/주세요/했는데/고쳐주세요/하고/바랍니다/마세요/해주세요/만들어/하는데/해도/하세요/않는/해서/하는
