,명사,형용사,동사
긍정,때문/너프/레온/공격/설치/제발/리플레이/슈퍼셀/과금/스파이크/업데이트/스킨/최고/정말/유저/와이파이/게임/트로피/스타즈/브롤/전설,재밌게/있는/재미있어요/입니다,합니다/주세요/하고
부정,사용/부분/여서/일단/체력/언제/고치/제작자/마찬가지/포인트/버프/모드/이후/주시/해주시/기능/방법/비비/레드/스타즈/자꾸/모든/우리/콜트/채팅/네트워크/스트레스/확률/결제/닉네임/유도/상점/너프/전투/복구/케릭/업뎃/이상/레벨/이벤트/구글/상대방/다음/장난/의견/발리/재미/버프좀/로사/이번/시스템/스타/데미지/슈퍼/신고/부탁/기본/요즘/그것/단점/혼자/티스/별로/동안/파워/개도/버튼/플레이어/연속/쓰레기/상대/이제/트롤/문제점/가장/유저/듀오/아주/친구/아무/서버/버그/개인/랭크/정도/시작/바로/신규/상태/레온/보상/마이크/현상/순간/짜증/팩토리/지게/보석/조금/때문/화면/스킨/신화/망겜/현질/밸런스/추가/점수/얼마나/무슨/경우/다운/일부러/실력/와이파이/패치/캐릭/매칭/전설/갑자기/표시/제발/업데이트/브롤러/그냥/처럼/해도/수정/슈퍼셀/브롤/거의/영웅/하나/완전/리뷰/개선/휴대폰/플레이/계속/참고/느낌/티밍/해결/사람/처음/연결/것좀/다시/게임/진짜/공격/트로피/한번/데이터/시간/문제/상자/캐릭터/이나/생각/정말/오류,같은데/재미있게/빨간/짜증나요/심하네요/망할/빠른/좋겠어요/있어서/안녕하세요/많은/부탁드립니다/비슷한/있습니다/그럼/같습니다/없는/아니고/없는데/좋을/솔직히/아니면/있으면/아닌/짜증나고/같은/없어요/많고/없고/이런/좋은/아님/아니/입니다/어떻게/있는데/많습니다/있어요/안되고/아니라/같아요/좋겠습니다/같네요/재밌게/있고/있는,고쳐주시면/나오면/감사하겠습니다/고쳐라/납니다/걸려서/건지/바랍니다/해야지/져서/나올/하다가/겁나/않고/마세요/되서/하려고/뜨는데/하세요/해도/만들어/해야/켜도/쓰고/되는데/하면서/뜨면서/하네요/한다/만들어주세요/먹고/보다/올려주세요/걸리고/나와요/고쳐/하지/하는데/하기/나오는/하고/하게/했는데/보면/까지/걸리는/합니다/뜨고/주세요/하면/됩니다/늦게/맞고/떨어지고/하는/나와서/되는/고쳐주세요/끝나고/해서/해주세요
복합,레온/이유/그거/이해/바로/공격/그것/리뷰/서버/클랜/고의/자체/무슨/플레이/경우/빵빵/주작/개도/보상/보스/데이터/채팅/하루/처음/고치/개인/꿀잼/오류/얼마나/무엇/콜트/상대/이제/삭제/보석/패치/프랭크/가지/클래시/시간/스파이크/버그/랜덤/체력/시스템/비비/유도/신화/해도/속도/주시/신규/거의/표시/캐릭/플레이어/짜증/정도/가끔/팩토리/버프/이상/초희/랭크/확률/추천/아주/개선/밸런스/점수/재미/크로우/레드/매칭/연결/때문/한번/상자/다음/이번/업데이트/수정/계속/너프/로사/현질/캐릭터/트롤/생각/슈퍼셀/조금/친구/문제/다시/영웅/닉네임/기준/이벤트/실력/문제점/하나/이나/와이파이/파워/스타/스타즈/정말/신고/제발/브롤/유저/다운/티밍/전설/진짜/기능/모드/브롤러/사람/추가/게임/트로피/스킨,아니라/재미있는데/재미있어요/있어서/아쉽네요/안좋은/괜찮은데/없어요/있으면/많습니다/솔직히/재미있고/좋아요/아니/좋고/있어요/많고/좋습니다/부탁드립니다/없으면/같습니다/있습니다/재밌어요/같은/좋겠습니다/있는/없습니다/그런/많은/있는데/이런/좋겠어요/그럼/같은데/입니다/그래도/재미있게/안녕하세요/없는/새로운/있고/재밌게/재밌는데/좋은데/어떻게/좋은/같아요,하다가/하면서/걸려서/되는/떠서/감사하겠습니다/만들어/되면/하기/할수/고쳐주시면/하는데/고쳐주세요/해야/하게/해서/하지/보다/하면/하지만/주세요/하는게/되지/하다/나올/했는데/합니다/해도/하고/해주세요/하는
