,명사,형용사,동사
긍정,중독/데이/해결/제발/설치/시즌/때문/신경/계속/하나/컨트롤/리기/최고/다시/수정/이벤트/재미/아주/처음/한번/크로우/시간/제일/모드/제작자/완전/광고/꿀잼/확률/현질/사람/자주/플레이/다운/스킨/선물/신화/보석/조금/과금/유저/슈퍼/추천/레온/친구/공격/문제/가끔/신규/레드/버그/정말/생각/맥스/계정/다음/슈퍼셀/캐릭/시작/클래시/로얄/상자/전투/전설/와이파이/진짜/스타즈/트로피/업데이트/캐릭터/브롤/게임/브롤러,솔직히/같습니다/많고/귀엽고/있어요/재미있네요/좋겠어요/재미있게/재밌고/새로운/있는데/재미있어요/재밌게/좋겠습니다/좋고/재미있는/있는/있어서/있고/있지만/좋습니다/재미있습니다/이런/재미있고/많은/다양한/있습니다/같아요/좋아요/좋은/재밌어요/그런/입니다,보다/넘나/해주세요/감사하겠습니다/드립니다/쉽고/깔아/되고/보세요/해보세요/감사합니다/했는데/하는데/업대/나와서/나와요/하세요/나오고/만들어/합니다/주세요/하고/하면/하는/해서
부정,종료/상품/개선/너프/자꾸/운영/게다가/플레이어/마다/시즌/동안/기분/자리/자살골/연결/화면/주작/쓰레기/여기/오지/엠즈/개발자/변경/다가/일본인/상대/업뎃/공격/이유/채팅/자체/우리/하라/레벨/무료/이름/친구/복구/이나/차이/버프/시스템/경우/이번/추가/상점/스타즈/연동/신규/스킨/과금/요즘/매치/패치/브롤러/정말/해도/현질/신고/신화/짜증/거의/대형/한번/망겜/버튼/캐릭터/데이터/영웅/처음/수정/부터/레온/시간/정도/서버/전설/이제/결제/해주시/다시/랭크/갑자기/버그/환불/아주/문제/박스/밸런스/레드/스타/하나/잠수/보석/티밍/다운/아이디/퍼셀/로그인/와이파이/실행/무슨/점수/파워/오류/계정/이후/트롤/업데이트/제발/그냥/플레이/생각/유저/확률/때문/슈퍼셀/보상/진짜/게임/매칭/사람/상자/브롤/트로피/계속,안녕하세요/안됨/새로운/안되네요/없음/아니고/많은데/있고/같습니다/그럼/있습니다/많아서/재미있게/없어서/없네요/그래도/있는데/아니라/이런/어떻게/재밌게/입니다/솔직히/같은/그래서/아깝다/많습니다/없어/없다/그런/있는/아니/없고/없는,떠서/하기/눌렀는데/걸리는/하게/죽고/먹고/따른/않고/떨어지고/먹으면/주는/고쳐주세요/않습니다/할수/하지/하다/하는데/나와요/쓰고/걸려서/주고/나오고/마세요/겁나/하려고/주세요/해도/합니다/해서/만들어/뜨고/하는/하고/바랍니다/만들어주세요/받은/나올/하세요/걸리고/해야/해주세요/하면/했는데
복합,옛날/수도/이후/이해/유저/확율/제작자/매일/유튜브/상태/화이팅/이벤트/빵빵/속도/저기/개월/버프/무료/별로/먼저/프랭크/마지막/감사/만점/무과/끼리/일본인/서버/여기/스타/우리/자리/그때/랭크/클랜/잠수/자꾸/완전/보고/겨우/쉘리/삭제/등급/동생/파워/사랑/원래/모든/샌디/마음/생기/저희/그것/문제점/챔피언십/슈퍼/점수/슈퍼셀/레온/예전/이름/이번/수정/레드/계정/다만/티스/이유/무슨/광고/영웅/시작/수준/가끔/과금/대형/맥스/패치/안나/최고/망겜/수치/스트레스/너프/개선/친선/캐릭/해결/스파이크/개인/답변/브롤/업데이트/티밍/지고/해주시/신고/설치/갑자기/스타즈/다시/자체/로사/방법/몇번/다음/부탁/고치/코인/채팅/레벨/플레이/확인/자살골/로얄/보상/장점/공격/정지/일반/처음/등등/바로/그냥/거나/단점/시간/차이/매우/매칭/신규/한번/버그/때문/아주/재미/가지/추천/피해/랜덤/추가/기능/플레이어/거의/사람/비트/문제/시스템/개임/트로피/상자/보석/모드/경우/요즘/다운/정말/부터/고요/전부/상대/조금/이상/가요/친구/인지/밸런스/트롤/전설/제발/크로우/주시/신화/정도/하나/스킨/기분/데이터/브롤러/해도/현질/실력/계속/진짜/캐릭터/확률/이나/게임/생각,있음/좋고/다양한/안녕하세요/재밌습니다/좋아하는/다양하고/있었는데/아니고/이런거/재밌고/좋게/비슷한/재미있게/그러면/좋은데/재미있고/좋지만/같네요/재미있어요/재밌는/힘들어요/새로운/있게/아니라/없네요/그럼/있고/안될까/괜찮은데/같고/재밌어요/좋겠어요/아닌/많은/있다면/좋겠네요/없는/재미있는/솔직히/입니다/많고/같습니다/없고/좋아요/같아요/빠르게/그런/있어서/많아서/있습니다/좋은/있는/있으면/많습니다/아니/재미있는데/같은/재밌는데/이런/좋습니다/있는데/재밌긴/재미있습니다/없습니다/부탁드립니다/있어요/없어요/재밌게/어떻게/같다/좋겠습니다,높여주세요/주셔서/즐기고/나오면/하겠습니다/나오고/나서/모르겠지만/하다가/않는/넣는/않습니다/감사하겠습니다/되서/보면/되어/나오는/나와서/되네요/했으면/않고/하면서/만들어/걸려서/넘게/나오게/나와요/감사합니다/고쳐/나올/하는/하려고/할수/돼서/해요/해도/하지만/주세요/하게/고쳐주시면/합니다/고쳐주세요/뜨고/되고/하면/해주세요/하고/하는데/걸리고/했다/하세요/겁니다/바랍니다/떠요/했는데/했어요/해서/질러/하지
