,명사,형용사,동사
긍정,자주/추천/아주/재미/요즘/정도/꿀잼/친구/너프/계속/시즌/제발/이벤트/항상/진짜/마지막/출석/조금/플레이/레드/시간/공격/와이파이/신규/슈퍼셀/유저/마음/화이팅/스타즈/다운/과금/최고/사랑/확률/브롤러/이나/완전/상자/하나/부활/사기/생각/스트레스/사람/캐릭터/한번/스킨/인생게임/개인/다시/모드/크로우/등급/보석/때문/정말/이동속도/리모/업데이트/트로피/엘프/샌디/전설/브롤/게임,재미있어요/좋은/있는/좋습니다/좋겠어요/있고/재미있고/있습니다/재미있는/입니다/재미있게/안녕하세요/재밌게/좋아요/있어요/재밌어요/이런/새로운/좋고/없에/같아요,감사합니다/해서/주셔서/했는데/보다/감사하겠습니다/만들어/해요/하는/합니다/나와서/해보세요/나올/해주세요/나오고/힘내세요/주세요/하고/하면
부정,개도/자꾸/슈퍼/오류/트롤/업뎃/아예/이후/확율/노잼/신고/가지/랭크/발리/연동/핸드폰/버튼/시간/새끼/이유/정말/시스템/사용/하라/사기/재미/이해/너프/이벤트/하나/개선/진행/테이크다운/비트/클랜/추가/일단/가요/마법사/바로/매치/크로우/티밍/대로/듀오/수정/프랭크/스트레스/보고/레벨/랜덤/보스/열기/계정/이제/시즌/버그/때문/프로/안주/원래/거의/정도/패치/이상/로그인/상태/점수/신화/브롤/마다/갑자기/아무/조금/스타즈/과금/망겜/부터/스타/현질/공격/그냥/매칭/신규/모드/해도/확률/보석/친구/다시/우리/상대/플레이/슈퍼셀/유도/무슨/제발/데이터/밸런스/파워/쉘리/계속/시작/혼자/아이폰/수준/경우/이번/요즘/처럼/다운/문제/이나/업데이트/레드/처음/와이파이/생각/유저/브롤러/상자/스킨/진짜/캐릭터/전설/사람/트로피/게임,없는/안녕하세요/안되요/솔직히/빠르게/안됨/없어요/없는데/아니면/좋은/같습니다/좋겠습니다/있고/재미있게/새로운/있는데/없고/같은/이런/아니/있습니다/부탁드립니다/많습니다/그러니/없어서/없습니다/없네요/있는/입니다/어떻게,뜨면서/나오게/들어/하는게/보면/만들어주세요/뜨고/떨어지고/하다/마세요/나오는/했습니다/바랍니다/떠서/하세요/겁나/나오고/합니다/늦게/하게/고쳐/고쳐주세요/걸리고/해서/나옴/해도/하지/하는/나와요/했는데/만들고/나올/해주세요/주세요/하고/하면/만들어/하는데
복합,차이/항상/원래/사실/한가지/꿀잼/아이디/질리/자체/실력/로사/로그인/대해/시즌/가요/자주/리모/엘프/해주시/레드/사랑/방지/표시/현상/사기/모든/너프/참고/슈퍼/버프/시작/이름/과금/그거/삭제/답변/출시/연결/플레이어/등등/연속/샌디/행운/초기/공격/모두/유도/프랭크/심지어/이벤트/부분/브록/토큰/기능/감사/비트/때문/짜증/마지막/초보/다만/이제/이유/친구/상황/파이/저희/가장/해결/크로우/와이파이/승리/영웅/보상/아무/시간/버그/우리/이상/망겜/리뷰/부터/오늘/보석/시스템/상자/개선/레온/개인/패치/화면/주시/신화/예전/무조건/현질/플레이/매우/갑자기/확인/상대/이후/스파이크/수정/움직/추가/큐브/랜덤/전설/조금/비비/랭크/브롤/처음/다음/해도/데이터/생각/서버/스타즈/정도/계정/이번/캐릭/브롤러/티밍/아주/트로피/매칭/듀오/경우/레벨/마다/또한/유저/가끔/완전/제발/확률/점수/거의/여러/하나/밸런스/그냥/요즘/실망/파워/스타/자꾸/게임/트롤/신고/버튼/바로/슈퍼셀/캐릭터/고치/신규/한번/모드/그것/다운/사람/업데이트/문제/다시/계속/문제점/가지/이나/스킨/정말/진짜,심하고/그런거/재밌어서/없에/재미있습니다/안녕하세요/그래요/아니라/재미있게/좋겠음/재미있어요/있습니다/재밌는/부탁드립니다/많습니다/재밌는데/많은데/없는/같네요/재밌게/없어/재밌긴/없어요/많은/안될까/같아요/재미있는데/있어/좋습니다/즐겁게/있게/있고/재밌어요/같은데/같은/좋겠습니다/있는데/입니다/아니면/괜찮은데/아니/재밌고/좋은데/좋겠어요/좋고/없어서/있어서/그런/없음/같습니다/없고/새로운/이런/좋은/그럼/좋겠네요/좋아요/있음/있어요/어떻게/없네요/솔직히/있는/있지만,드립니다/보다/나오고/깠는데/고쳐요/만들어/겁니다/했습니다/뜨는/모아서/겁나/하세요/빼고/까지/걸리면/맞게/뜨고/나와서/감사합니다/하고/고쳐주세요/하지/걸리고/되고/하네요/떠서/고쳐/보면/나오네요/고쳐주시면/하기/나와요/나올/감사하겠습니다/해주세요/하게/하는데/했는데/않고/건지/해도/해서/하는/하면/않아요/올려주세요/되는데/나오면/해야/주세요/나오는/합니다/바랍니다/되는
