,명사,형용사,동사
긍정,조작/자주/체험/상대/팩토리/상자/슈퍼/유저/로그인/꿀잼/보상/항상/플레이/이번/무한/건가/기분/시작/미스터/로딩/레드/와이파이/광고/마다/짜증/인기/영웅/이유/완전/이후/샌디/때문/전투/매칭/한번/사랑/최고/마음/감사/현질/스타즈/생각/추천/캐릭/보석/서버/이벤트/제발/사람/다시/신규/스킨/대박/계정/재미/업데이트/해도/캐릭터/버그/주말/별로/접속/이크/공격/다운/확률/진짜/처음/전설/친구/브롤러/정말/설치/슈퍼셀/계속/트로피/브롤/게임,안되요/좋겠습니다/있어서/재미있는/같습니다/재밌어요/재밌습니다/좋아요/안되네요/같네요/재미있게/다양한/재밌고/있어요/있습니다/있고/없는/좋고/좋겠어요/재미있음/솔직히/좋네요/재미있고/재밌게/새로/좋겠네요/재밌다/있는/재미있어요/같아요/재밌는/좋은/많아서/입니다,나올/보다/했어요/하고나서/해주세요/고쳐주시면/나와서/나와요/고쳐주세요/모으는/쉽고/만들어/하세요/쉽게/합니다/할수있고/하는/할수/뜨고/주세요/감사합니다/해서/하면/되지/돼요/되고/깔아/하는데/했는데/하고있는데/감사하겠습니다/나오고/하고
부정,관리/사기/모두/접속/유도/설치/실행/점검/랭크/대로/안나/연결/시도/이제/차이/종료/시즌/여러분/동안/지네/회사/플레이어/클럽/해도/망겜/패치/추천/어이/캐릭터/업데/신화/밸런스/해결/원래/과금/사용/불만/다음/삭제/우리/오늘/대형/플레이/업뎃/아이폰/부터/보석/하라/신규/점수/솔로/이후/튕기/보상/데이터/아주/영웅/이해/레벨/상태/로딩/케릭/도대체/화면/수정/버튼/상황/리뷰/무슨/슈퍼셀/이유/하나/정말/신고/버그/처음/한번/그냥/문제/가요/파워/오류/공격/상자/스타/정도/레드/그때/랜덤/업데이트/가젯/다시/생각/확률/브롤/다운/가입/마지막/처럼/서버/매우/로그인/계정/시스템/스킨/제발/상대/와이파이/브롤러/이번/이나/진짜/유저/시작/매칭/때문/트롤/현질/전설/계속/사람/게임/트로피,없네요/아니면/안되요/안됩니다/부탁드립니다/같네요/어떤/있고/안됨/안되고/좋겠습니다/재밌게/안되네요/아니고/없고/같은/있는데/어떻게/입니다/안녕하세요/좋은/안되/없는데/같아요/없습니다/있는/그런/이런/아니,걸려서/하게/만들어주세요/하고나서/않습니다/돼요/들어가지네요/마세요/됩니다/떠요/들어가져요/하려고/들어/나오고/고쳐주세요/해주세요/걸리고/들어가/해도/하지/건지/합니다/하는/나올/하세요/않고/했는데/하면/해서/하고/하는데/주세요/되는/하기/들어갔는데/넣어주세요/해야/뜨고/되고/떠서/나서
복합,리뷰/래드/피해/로그인/데이터/자체/한번/프랭크/움직임/예전/쉘리/실패/신고/한가지/클럽/조준/추천/개인/자꾸/와이파이/근접/안나/퍼셀/더독/주시/챔피언쉽/거나/그것/슈퍼/오늘/미스터/뭔가/쓰레기/기능/그레/단점/요즘/가장/자동/로직/시작/블록/랜덤/화가/레벨/버튼/심해/해결/랭크/이벤트/우리/기분/영웅/하루/신규/이번/동안/삭제/닉네임/플레이어/실력/레드/개선/공격/해도/고치/경우/이제/너프/패치/빵빵/하니/신화/스킨/연결/부터/스타즈/원래/가젯/이후/캐릭/위해/하나/하라/밸런스/자기/바로/시스템/거의/가지/동생/완전/갑자기/마다/다운/재미/별로/처음/가끔/메칭/수정/부분/상대/때문/전투/브롤/접속/그냥/점수/티스/계정/현질/친구/보상/플레이/브롤러/조금/정말/매칭/사람/아주/정도/유저/보석/확률/전부/점검/코인/파워/스타/전설/제발/슈퍼셀/시간/서버/크로우/과금/문제/끼리/캐릭터/상자/다시/업뎃/버그/계속/생각/게임/업데이트/트롤/진짜/트로피,짜증나요/안녕하세요/좋습니다/안되네요/그런/재밌고/부탁드립니다/없네요/좋겠네요/재미있지만/재미있는/그럼/있음/없고/재미있습니다/좋지만/재미있는데/재밌는/꾸준히/아쉬운/아니면/재밌습니다/다른건/재미있게/같네요/재미있고/재밌어요/재밌는데/재미있어요/없습니다/낮은/없어서/있는데/많은/좋을것/없어요/있으면/좋은/없음/좋아요/같습니다/같아요/같은/입니다/재밌게/어떻게/좋겠어요/아니/있어요/새로운/있어서/많고/많습니다/재밌긴/괜찮은데/많아요/같음/있는/있고/좋은데/좋겠습니다/있습니다/이런,했습니다/걸림/감사합니다/하게/할거/나오게/하지/납니다/넣어주세요/않고/않아요/하기/만들어/고쳐/되는/하는데/보니/빼면/할수/나오고/고쳐주시면/나옴/마세요/주고/보면/바랍니다/올리고/들어가/나와서/올려주세요/까도/해야/나와요/나온다/빼고/되는데/되고/들어/해도/하니/주세요/하다가/합니다/나올/나서/고쳐주세요/건지/뜹니다/나오는/했어요/돼요/하고/하지만/했는데/하는/만들어주세요/열었는데/해서/겁나/먹고/해주세요/감사하겠습니다/뜨고/하면/하세요
