,명사,형용사,동사
긍정,화이팅/제작자/추천/조금/레온/친구/시작/공격/브롤러/사람/브롤/문제/요즘/업데이트/무료/캐릭터/스타즈/계속/정말/트로피/전설/스킨/최고/진짜/게임/처음/해도/슈퍼셀/완전/유저/생각/아주/레드/다운/다음/추가/재미/상자/플레이/스타/마다/크로우/와이파이/보석,재밌고/있습니다/좋아요/재미있게/있는/많은/재미있어요/재밌어요/있어요/좋고/새로운/좋은/재미있고/좋겠어요/이런,하고/해주세요/하다/나오고/해도/했는데/하는/해서/하면/되는/깔아/합니다/감사합니다
부정,플레이어/그게/그거/발생/그것/랭크/이제/자체/점점/경우/버퍼링/등급/언제/무슨/이유/엠즈/무시/다음/친구/피해/댓글/보고/실력/사용/캐릭/샌디/일부러/솔로/패치/생기/쓰레기/장사/똑바로/약간/파가/바로/접속/저기/안나/안주/처음/클럽/추가/하나/심지어/저희/경고/과금/요즘/리코/매우/실수/보스/고요/비트/시간/모드/연동/버프/잼민/정말/관리/스트레스/스킨/처럼/이벤트/상대편/확률/조금/뉴스/주시/차이/우리/레드/보석/이상/계정/티켓/밸런스/연결/다시/그냥/벨런스/기능/공격/파워/랜덤/유저/부터/플레이/레벨/서버/신고/포인트/해도/스타/정도/너프/빨리/생각/버그/상자/해주시/이나/브롤러/문제/삭제/시스템/아예/코인/신규/설정/한번/오류/티밍/트로피/스타즈/영웅/레온/계속/점수/진짜/현질/와이파이/제발/업데이트/보상/사람/매칭/슈퍼셀/다운/전설/캐릭터/때문/트롤/브롤/게임,없는/아니라/그런/좋겠네요/빡쳐서/낮은/많고/재미있는/있지만/똑같은/있으면/안될까/좋겠어요/없네요/없어요/있음/아니고/재밌게/있는/없어서/없고/있습니다/없음/솔직히/좋겠습니다/많은/어떻게/같은/이런/좋은/있는데/안녕하세요/부탁드립니다/있어요/좋을/없는데/같네요/같습니다/입니다/같아요/아니,하다가/됩니까/보다/고쳐/바랍니다/빼고/깠는데/나옴/고쳐주시면/감사하겠습니다/만들어주세요/나와요/들어/뜨고/겁나/하세요/하기/떠서/만들어/고쳐주세요/걸려서/하게/한다/합니다/나오고/않고/해서/하는/하는데/했는데/인데/하고/없애주세요/끊김/들어가서/해야/보고/주세요/걸리고/해도/해주세요/하면
복합,자주/그것/매칭/가끔/지면/예전/부탁/모드/버그/포인트/바운티/해결/가지/트롤/그냥/부터/브롤러/의견/이유/이번/서버/엠즈/최고/꿀잼/다만/재미/리기/수정/버튼/듀오/슈퍼셀/공격/연결/캐릭/레드/보상/해도/삭제/조금/패치/랭크/레벨/시즌/모두/정도/요즘/항상/우리/계정/현질/뉴스/이나/신고/스타/페니/정말/사람/티밍/티스/점수/스킨/진짜/추가/파워/계속/다운/친구/크로우/솔로/사랑/하나/문제/업데이트/와이파이/플레이/보석/스타즈/때문/상자/생각/오늘/밸런스/자꾸/사용/기록/문제점/제발/희귀/확인/다시/신화/유저/트로피/브롤/게임/확률/전설,재밌는데/좋습니다/있고/재밌어요/어떻게/부탁드려요/재밌고/안녕하세요/재밌게/솔직히/많은/좋고/높은/좋겠어요/같은/같네요/재미있습니다/재미있는/좋은/재미있는데/재미있어요/있으면/그럼/없어요/많아요/있습니다/같아요/좋겠네요/낮은/같습니다/좋아요/입니다/아니/아니라/좋겠습니다/다른건/재밌긴/있는데/있어요/있는/이런/좋은데/같아/있어서,고쳐주시면/되는데/하겠습니다/주셔서/나와요/되는/감사하겠습니다/만들어/하세요/나오고/했으면/해야/해도/됩니다/했는데/고쳐주세요/보니/인데/들어/했어요/떠서/해주세요/해서/하고/하면/합니다/하는/달려/되면/하게/되서/올려주세요/보다/감사합니다/해요/하는데/주세요
