,명사,형용사,동사
긍정,공격/사람/확률/로봇/리코/신규/현질/게임/너프/아주/때문/시작/브롤러/와이파이/슈퍼셀/조금/업데이트/레드/트로피/완전/부터/보상/접속/생각/비트/패치/상자/처음/브롤/캐릭터/전설/시즌/스타즈/계속/화면/재미/토큰/레온/스타/정말/한번,새로운/좋고/있습니다/재미있게/재미있어요/재밌어요/같습니다/있어요/좋겠어요/재미있는/입니다,감사합니다/됩니다/하는/했는데/합니다/하면/해서/해주세요/하고/나오고
부정,부탁/영웅/결제/이스트/님들/신화/고치/스파이크/스타/불만/안나/사용/튕겨/똑바로/인지/하루/신고/기능/이기/모두/소리/스타즈/문제점/와이파이/수가/복구/레온/버튼/슈퍼셀/점점/무슨/조금/자꾸/아이폰/유저/캐릭/전설/점수/튕기/부분/종료/티스/버프/한참/랜덤/얼마/환불/재미/수정/화가/연동/처음/초기/접속/쉘리/플레이어/삭제/가지/어쩌/망겜/강제/언제/고수/리뷰/현질/실망/시스템/코인/발생/파워/계정/티밍/랭크/차이/저기/이제/개도/개인/가끔/우리/몇번/너프/움직/해결/시즌/개선/표시/이번/이후/생기/중간/출시/상자/때문/차라리/버그/슈퍼/점검/먹통/경우/플레이/거의/다음/제발/조이스틱/추가/레드/샌디/모드/사람/시작/신규/서버/지고/트롤/레벨/브롤/정도/다시/하라/상황/보상/로딩/의견/기본/친구/현상/화면/업뎃/과금/부터/문제/계속/데이터/스킨/하나/관리/업데이트/오늘/대형/쓰레기/희귀/매치/한번/요즘/제대로/밸런스/상대/정말/갑자기/이상/브롤러/다운/캐릭터/생각/보석/게임/그냥/자주/매칭/트로피/비트/오류/패치/공격/진짜/확률/이나,없어/안녕하세요/안되요/없어요/있어요/좋은/같고/안되고/아님/적당히/부탁드립니다/아니면/재밌게/안되네요/같네요/있고/힘들게/많은/어떻게/있는/없는데/같아요/있습니다/있는데/이런/같은/입니다/짜증나서/안되나요/없네요/없습니다/좋겠습니다/같은데/솔직히/그런/없고/아니,않은/하려고/한다/마세요/됩니다/감사합니다/끊기고/나서/나오게/끊김/하고나서/나와요/걸려서/고쳐라/질러/하네요/않아요/까도/멈추고/하기/들어/되요/할수가/바랍니다/되는데/보다/넘게/만들어/뜨면서/걸리고/고쳐/보면/하다가/돼요/주세요/하면서/되고/되면/하고/나오고/건지/해주세요/해야/까지/않고/뜨고/하면/인데/하지/했는데/하는데/않는/해서/사라졌어요/않나/나와서/해도/고쳐주세요/되는/합니다/하는/겁나
복합,가요/파워/이름/이점/일단/버프/제일/동안/상어/이후/플레이/하루/초딩/수정/주시/부탁/유도/하라/등등/점점/튕기/아주/듀오/사실/사랑/제대로/문제점/포인트/해결/그거/이벤트/데이터/삭제/저희/지고/원래/크로우/튕겨/레벨/모든/님들/친선/오류/랭크/정말/로얄/확률/확율/진짜/보고/프로/조금/조준/처럼/토큰/슈퍼셀/티켓/개선/자체/이해/우리/자기/리뷰/계정/추가/신화/신고/실력/점수/버그/고치/다만/기능/요즘/현질/하나/스트레스/부터/클래시/소리/와이파이/핸드폰/보석/방법/끼리/문제/버튼/과금/시간/클럽/처음/이번/거의/재미/다운/상자/스타즈/마다/망겜/생각/신규/티밍/레드/레온/갑자기/제작자/패치/업뎃/시작/트로피/전설/친구/한번/스킨/너프/해주시/경우/서버/플레이어/항상/때문/상대/다시/가끔/기분/제시/밸런스/자살골/자주/모드/트롤/다음/비트/공격/캐릭터/제발/짜증/사람/업데이트/그냥/정도/브롤러/유저/무슨/브롤/게임/계속/해도/이나/매칭,짜증나요/부탁드립니다/재미있습니다/안녕하세요/좋을/재밌습니다/아쉬운/없는/재미있는데/재미있지만/있네요/있게/좋습니다/아니라/재미있어요/좋겠어요/그런/좋겠네요/빨간/있어서/심하게/없다/어떤/없에/솔직히/재미있게/같습니다/새로운/있으면/같은/있어요/좋은/없어요/아니면/많은/재밌게/있고/있는/입니다/많아요/있습니다/같아요/같네요/아니/어떻게/좋겠습니다/그래도/없고/좋은데/이런/있을/좋아요/안될까/괜찮은데/그러니/있는데/재밌는데/재밌어요/좋지만/좋고,하고있는/걸리고/걸리는/파이퍼/떨어지고/하게/개는/뜨고/고쳐/나올/되면/했어요/될것/올려주세요/보니/하세요/얻기가/빼고/하시는/고쳐주셨으면/감사합니다/걸려서/걸려요/고쳐주시면/않는/나와서/하지/만들어주세요/해야/나오게/감사하겠습니다/보면/나오는/되고/고쳐주세요/만들어/했는데/하면/되는데/보다/합니다/하는/해주세요/하고/하는데/해도/않고/하지만/해서/바랍니다/깠는데/나오고/하다가/나갔다/나와요/겁나/하면서/뜹니다/주세요
