,명사,형용사,동사
긍정,로얄/해주시/신규/현질/업데이트/슈퍼셀/너프/생각/영웅/추천/트로피/다운/슈퍼/진짜/처음/다음/마음/출석/사기/신화/클래시/친구/브롤러/사람/제발/매일/극악/플레이/추가/쉘리/파워/상자/조금/레온/계속/모드/크로우/보석/재미/레드/유저/캐릭터/브롤/확률/정말/와이파이/스킨/스타/게임/과금/전설/스타즈,새로운/있어요/재밌어요/있고/재미있어요/같아요/재밌습니다/좋겠습니다/재미있는/좋아요/많은/그럼/좋겠어요/좋을것/안녕하세요/입니다/좋겠네요/재밌게/없는/좋은/같습니다/있습니다/같은/재미있게,나오면/나오고/감사하겠습니다/주셔서/해서/하고있는데/하면/되고/떠요/바랍니다/합니다/해주세요/하고/만들어/하는/감사합니다/주세요
부정,아이폰/마이너스/형님/전설/스타/보석/소리/안나/구매/점검/신고/망겜/대형/거기/보고/끼리/레온/요청/상대/과금/브롤/스타즈/기능/너프/바로/상자/캐릭터/티스/계정/접속/아이템/네트워크/궁극/한번/타라/잠수/제발/주시/버그/무슨/하나/상점/신규/요즘/실력/해결/다시/버프/사기/매치/이유/운빨/초보/추가/연속/버튼/파워/비비/시즌/부탁/스트레스/참고/영웅/친구/레벨/업데이트/심지어/스파이크/추천/확인/플레이/이번/기본/가지/업뎃/차이/티밍/그것/원래/시스템/유도/모드/그거/현질/데이터/시간/캐릭/서버/우리/트롤/짜증/이드/실망/오늘/사거리/저기/트로피/쉘리/유성우/자꾸/화가/문제점/크로우/연결/경우/패치/이상/문제/사람/표시/처음/계속/오토/포인트/브롤러/매칭/스킨/유저/와이파이/확률/레드/랭크/때문/가끔/다운/밸런스/해도/시작/게임/정도/생각/그냥/공격/점수/슈퍼셀/갑자기/진짜/정말,좋겠어요/없는/부탁드립니다/있어요/비슷한/없어요/아니고/안녕하세요/좋겠습니다/미친/높은/있게/안되요/안되네요/있는/없에/있는데/같은/있었는데/입니다/아닌데/재밌게/없어서/어떻게/좋은/이런/있습니다/없고/솔직히/있고/재미있게/아니/같아요/같습니다/있으면/많습니다/같네요/많은/아니면,걸리고/하고있는데/감사합니다/깠는데/올리고/나오는/까도/참고/나오고/않고/되는데/떠서/돼요/마세요/하세요/나와요/고쳐/되고/나서/해야/뜨고/나오게/나오면/넘는데/했는데/겁나/해라/했어요/떨어지고/하면서/하는/해주세요/하지/하는데/해도/하면/합니다/하고/나올/맞고/주세요/해서/뜨면서/만들어/고쳐라/하게/고쳐주세요/들어
복합,재미/레드/트롤/친구/차이/계속/자주/로사/밴드/캐릭/골드/크로우/클래시/빵빵/트로피/확률/티밍/스킨/고치/경우/자꾸/매칭/과금/레온/보석/전투/시간/케릭/수정/제작자/행운/스타즈/플레이/증가/스타/파워/기록/은신/버프/공격/전설/이드/로얄/해결/때문/채팅/정도/예전/하나/차감/신화/가지/사기/로봇/실력/브롤러/스트레스/마이크/상대방/무과/제발/포인트/밸런스/마지막/오류/부탁/특수/그것/모드/가끔/속도/이후/이름/그냥/개도/비트/뭔가/모두/그거/닉네임/전부/이벤트/구매/추가/파가/대형/끼리/티켓/유저/다음/원래/스파이크/금은/매치/프랭크/무료/시스템/우리/해주시/주시/위해/버그/로그인/보고/해도/스킬/신규/고요/가요/상점/삭제/두번째/비비/초희/무시/이점/살수/한판/모든/평점/확인/나중/정말/리코/도중/캐릭터/현상/소리/진짜/갑자기/이제/승리/겨우/한번/일반/클랜/거기/상대편/사랑/아이디/최적화/항상/다만/아주/단점/버튼/업뎃/바로/제대로/슈퍼셀/참고/처럼/완전/가장/이번/대부분/퍼셀/기분/브롤/망겜/리뷰/안나/장점/마음/부터/평가/잠수/문제/서버/매우/데이터/일단/슈퍼/다시/사람/처음/옛날/댓글/언제/게임/별로/친선/개선/이기/요즘/상태/선전/하라/이유/최고/회사/생각/확율/자체/시즌/매일/이상/업데이트/출시/절대/자기/보상/자동/너프/쉘리/혹시/연결/와이파이/거의/체력/랜덤/계정/인기/지면/표시/선택/혼자/상황/화면/짜증/플레이어/이해/부분/꿀잼/추천/콜트/거나/정상/점점/이글,많은/그럼/재미있는데/재밌게/좋고/좋아요/재미있게/있습니다/안녕하세요/좋은/입니다/있어요/아니고/좋겠습니다/없어요/재밌어요/같은/없네요/그러니/같네요/재밌는데/재미있습니다/많아요/좋겠네요/안된다고/아니면/있지만/좋겠어요/없어서/부탁드립니다/좋은데/재밌습니다/좋아하는/재밌는/이런/있는데/좋지만/아님/같습니다/없어/다른건/많습니다/좋습니다/새로운/같아요/좋네요/아니/아닌/있게/있어서/어떻게/재미있어요/안됩니다/즐겁게/없는/짜증나요/재밌긴/괜찮은데/없습니다/좋다/있으면/없고/있는/그런/재미있는/있고/솔직히/재밌고/없음/있네요/아닙니다,고쳐/깠는데/나올/해서/만들어/나오지/떠요/하면/얻고/해야/되는/해도/했는데/하세요/나오고/떠서/고쳐주시면/나와서/하지/따라/올려주세요/하는데/질러/바랍니다/나온/해주세요/감사하겠습니다/하게/않고/하는/파이퍼/하기/되서/고쳐주세요/할수/했습니다/나왔어요/하며/나오는/나오네요/받고/주세요/걸리고/까도/한다/합니다/감사합니다/들어/되고/나옴/나오면/하네요/주셨으면/만들어주세요/건지/높여주세요/보면/클로/걸려요/돼고/하고있는/넣어/나와요/뜨고/겁나/하면서/하고/하지만/나오게/쉽게/싶은데/하다가
