,명사,형용사,동사
긍정,레드/리기/제발/크로우/해결/챔피언십/시즌/데이/한번/공격/조금/모드/중독/생각/최고/제일/재미/때문/확률/선물/신화/설치/컨트롤/슈퍼/꿀잼/추천/다운/아주/보석/플레이/맥스/사람/제작자/전투/하나/처음/완전/버그/레온/가끔/문제/광고/신경/스타/과금/유저/친구/다시/와이파이/스킨/자주/수정/진짜/시작/계정/브롤러/다음/캐릭/클래시/슈퍼셀/로얄/상자/계속/현질/신규/브롤/트로피/업데이트/정말/캐릭터/스타즈/게임/전설,좋겠어요/재밌고/같습니다/귀엽고/솔직히/재미있네요/재미있게/있어요/있는데/많고/재밌게/있지만/새로운/재미있어요/재밌어요/재미있는/있어서/있는/좋아요/재미있습니다/이런/있고/있습니다/좋겠습니다/재미있고/좋고/많은/다양한/좋은/같아요/입니다/좋습니다,감사하겠습니다/되고/해주세요/넘나/해보세요/나와서/깔아/했는데/보세요/하는데/쉽고/업대/해서/감사합니다/하세요/합니다/나오고/나와요/주세요/하고/하는/드립니다/하면/만들어
부정,일본인/슈퍼셀/우리/레벨/대형/스킨/맥스/데이터/생각/브롤/다운/유저/상자/복구/채팅/무료/스타/요즘/업뎃/매치/때문/이름/연결/플레이어/스트레스/결제/자살골/와이파이/신고/보고/자체/보상/문제/하라/진짜/갑자기/거의/새끼/신화/진척/레드/엠즈/자꾸/서버/자리/기존/변경/아이폰/종료/운영/연동/하나/수정/별로/출시/시즌/바로/추가/상대/조금/박스/상점/랜덤/시스템/쓰레기/무슨/밸런스/확률/오지/상품/캐릭터/매칭/아주/해도/다가/이번/점수/기능/계속/시간/개발자/개선/도중/이상/경우/크로우/플레이/패치/트로피/너프/현질/공격/버프/환불/친구/게임/해결/해주시/이제/망겜/기분/이후/퍼셀/화면/로그인/파워/주작/랭크/처음/여기/한번/오류/업데이트/게다가/버그/아이디/잠수/계정/실행/시작/레온/정도/사람/트롤/제발/과금/차이/영웅/정말/짜증/이유/티밍/신규/스타즈/삭제/버튼/그냥/다시/브롤러,없네요/없어서/새로운/안됨/같은/아니고/입니다/안되네요/많아서/많습니다/안녕하세요/있습니다/그럼/아니라/없고/있는/없음/솔직히/재밌게/아깝다/없는/있는데/없다/재미있게/아니/이런/없어/같습니다/많은데/어떻게/있고,합니다/따른/죽고/먹으면/먹고/하게/해서/하는데/나와요/않고/하는/주세요/마세요/겁나/주는/눌렀는데/해도/주고/않습니다/걸려서/만들어/뜨고/떠서/하지/할수/하다/하기/떨어지고/하려고/걸리는/하고/나오고/쓰고/받은/바랍니다/하면/나올/만들어주세요/해야/걸리고/해주세요/하세요/했는데
복합,등등/아주/보석/브롤러/패치/계정/삭제/티스/티밍/너프/버프/레온/자살골/데이터/레드/조금/업데이트/모든/채팅/다운/차이/공격/자동/스킨/클랜/사람/기능/유저/샌디/트롤/확률/우리/파워/스타/예전/저희/신규/정말/시간/이해/스트레스/요즘/점수/설치/정지/문제/계속/갑자기/상자/밸런스/친선/실력/이름/빵빵/신화/추가/솔로/수정/대형/레벨/생각/플레이어/만점/제발/시작/추천/시스템/동생/자체/랜덤/고치/그것/다만/매일/캐릭터/스파이크/코인/매칭/이벤트/주시/쉘리/방법/다음/트로피/몇번/로사/전설/영웅/친구/해결/등급/확인/슈퍼셀/부탁/하나/보상/일반/별로/현질/부터/무료/모드/프랭크/수준/수도/쓰레기/게임/장점/최고/맥스/바로/비트/사랑/단점/이후/개월/자꾸/그거/무슨/먼저/가끔/확율/해주시/자리/속도/개임/거의/거나/감사/옛날/때문/제일/로얄/한번/슈퍼/정도/점점/일본인/서버/건가/이번/잠수/보고/스타즈/처음/지고/완전/상태/원래/무과/광고/가지/기분/생기/마음/끼리/유튜브/챔피언십/브롤/개인/과금/버그/상대/크로우/전부/이상/수치/고요/안나/겨우/해도/망겜/진짜/제작자/그때/답변/재미/저기/여기/화이팅/랭크/매우/개선/가요/댓글/이유/마지막/캐릭/문제점/개도,좋겠어요/좋은데/있는/있는데/있고/재미있는데/없어요/솔직히/빠르게/재미있게/안녕하세요/같은/있었는데/이런/재밌고/재밌는데/재미있는/있습니다/많고/다양하고/좋아하는/좋지만/좋습니다/같습니다/좋겠네요/없고/있게/아니라/재밌습니다/있으면/많은/힘들어요/있다면/없는/같고/안될까/이런거/괜찮은데/그럼/아닌/아니/좋아요/비슷한/재밌는/새로운/좋게/많아서/아니고/같아요/좋고/재미있고/다양한/없네요/있음/그런/같네요/재밌어요/많습니다/좋은/있어서/재미있어요/있어요/입니다/재밌게/재미있습니다/좋겠습니다/같다/부탁드립니다/재밌긴/없습니다/어떻게,감사하겠습니다/고쳐주시면/하고/나오면/해서/되어/하다가/보면/넣는/하는/즐기고/하는데/해주세요/않고/하려고/주세요/겁니다/않는/되고/하면/했으면/해요/만들어/나오고/합니다/감사합니다/해도/나올/주셔서/되서/돼서/하게/나서/고쳐주세요/나와서/걸려서/하겠습니다/하면서/나오는/넘게/않습니다/나오게/할수/고쳐/되네요/뜨고/걸리고/높여주세요/질러/했어요/했다/하지/나와요/모르겠지만/했는데/바랍니다/떠요/하세요
