,명사,형용사,동사
긍정,레온/진짜/트로피/슈퍼셀/패치/사기/점검/플레이/너프/다운/유저/희귀/업데이트/특수/처음/상자/완전/정도/생각/브롤/버프/실행/다시/모드/콜트/현질/신규/리모/재미/조금/계속/로사/정말/프랭크/엘프/전설/사람/사정거리/캐릭터/밸런스/스타즈/최근/공격/속도/친구/브롤러/궁극/스킨/리기/전투/게임/크로우/확률/제발,입니다/좋겠어요/있어요/있는/재미있습니다/좋고/재미있어요/있어서/있고/좋겠습니다/있습니다,감사하겠습니다/해주세요/만들어/합니다/해요/하면/주세요/하는
부정,벨런스/연속/표시/현질/연결/새끼/친구/안주/겨우/너프/장난/소리/개판/닉네임/밸런스/스타/로사/일부러/시간/삭제/무슨/트롤/한판/거의/제대로/채팅/인터넷/아이폰/리뷰/연동/똑바로/현상/변경/수가/네트워크/브롤러/솔로/퍼셀/근접/평타/버튼/이기/처리/쉘리/기본/자꾸/매칭/선택/문의/혼자/센터/갑자기/제발/기능/끼리/점수/보상/정도/플레이/망겜/우리/다운/복구/상자/환불/계정/과금/확률/한번/신고/핸드폰/그냥/접속/와이파이/오류/랜덤/보석/발리/방법/시작/수준/사람/사거리/조치/모드/클래시/데이터/해결/지연/영웅/유저/전설/신화/서버/시스템/정말/콜트/하나/스타즈/상대/크로우/때문/사기/해도/문제/신규/티밍/업데이트/생각/쓰레기/바로/게임/파워/슈퍼셀/버그/추가/트로피/레벨/캐릭터/다시/레온/계속/진짜/브롤,없에/없는데/아니고/솔직히/있고/아니면/없어서/입니다/있는/어떻게/아니/이런/없습니다/없음/안되고/있는데/같아요/없는/같네/같은/좋은/없고,하세요/나오고/나온/뜨면서/하다/하기/끊김/주고/해주세요/건지/나와서/만든/고쳐주세요/나와요/걸리고/하는/해서/해라/지는/맞고/주세요/하고/하지/하게/샀는데/하냐/했는데/하면/해도/쓰고/합니다/보면/하는데
복합,티밍/채팅/상대/시스템/스타즈/체험/밸런스/사기/사람/다음/실력/설정/네트워크/친구/보석/스킨/스파이크/토큰/최대/문제/빵빵/계속/점수/시작/기능/캐릭터/페북/연동/계정/상자/때문/랭크/설치/파워/처음/신화/모드/캐릭/업데이트/클래시/현상/연결/현질/부탁/다운/플레이어/화가/로얄/역시/생각/해주시/대형/이점/거의/수준/발생/항상/레온/변경/아주/유저/가끔/일본인/트로피/레벨/악플/제작자/오늘/재미/요즘/다시/최고/바로/희귀/궁극/공격/해결/불구/특수/무엇/성은/스타/이유/확률/게임/조금/브롤러/로그인/이번/운영자/추가/표시/솔로/상황/출석/가지/사정거리/인정/우리/진짜/해도/로봇/전투/나사/뉴비/갑자기/유도/복구/삭제/정말/서버/화면/갤럭시/콜트/주시/이제/건가/그것/구입/하나/신규/님들/망겜/저가/다만/쉘리/마음/무슨/자주/이상/아이/티스/지면/기도/제대로/모두/정도/수도/매칭/개도/만약/슈퍼셀/경우/접속/약간/개선/부분/심해/감소/인생/시간/개인/그때/버그/그게/한가지/보상/참고/사용/이기/데미지/보고/랜덤/상점/이후/수정/쿠폰/제발/데이터/스킬/페니/레드/하라/잘만/자꾸/핸드폰/상태/기본/최근/과금/거나/심지어/자체/이해/버튼/제시/일단/무조건/듀오/매우/그냥/그다음/방법/벨런스/그거/아예/리뷰/제일/피해/환불,작러/재미있습니다/있어요/없어요/재밌게/있어서/재미있어요/재미있게/어떻게/있는/입니다/재밌는데/힘들어요/같아요/있으면/좋고/솔직히/없습니다/있음/많은/좋겠어요/있다/이런/좋은데/재미있고/같은/아니면/그럼/없음/재미있는데/있습니다/좋아요/부탁드려요/안녕하세요/있고/재밌습니다/있어/좋습니다/같습니다/같네요/재밌고/아님/좋겠습니다/좋아하는/좋겠네요/다른건/아닌/있네요/새로운/없어서/새로/없고/좋은/부탁드립니다/있는데/아니/재밌어요/재미있는/없는/아니라,해서/했는데/했던/만들어주세요/하지/하는데/하고/하게/하는/떨어지고/나온/걸리고/깠는데/할수/하여/나오는/나왔어요/올려주세요/주세요/해주시면/감사하겠습니다/해도/하고있는/하면서/해주세요/들어/바꾸고/맞고/빼고/되는/뜨게/않고/만들어/해야/하기/하면/들이/뜨고/되어/됩니다/바랍니다/할게요/합니다/감사합니다/겁니다/되면/고쳐주세요/나올/마세요/보면/나와서/하다/하다가/하세요/고쳐/겁나/해요/하네요
