,명사,형용사,동사
긍정,플레이/다운/재미/자주/진짜/너프/항상/이벤트/최고/브롤러/유저/아주/하나/추천/스타즈/스킨/제발/조금/시즌/마음/꿀잼/확률/레드/인생게임/신규/사랑/스트레스/요즘/보석/캐릭터/공격/과금/완전/마지막/트로피/부활/정도/한번/정말/친구/생각/전설/다시/업데이트/등급/리모/사람/때문/크로우/샌디/사기/엘프/이동속도/상자/개인/화이팅/슈퍼셀/출석/시간/게임/브롤,좋겠어요/재미있고/있고/있는/재미있어요/좋습니다/있습니다/재미있는/입니다/재미있게/좋은/안녕하세요/좋아요/있어요/없에/새로운/재밌어요/좋고/재밌게/같아요/이런,나와서/감사합니다/감사하겠습니다/했는데/하고/해서/하는/해요/주셔서/만들어/나오고/주세요/나올/힘내세요/해주세요/하면/해보세요/합니다
부정,언제/이해/로사/시즌/스킨/이후/연동/마법사/빵빵/이상/와이파이/과금/이름/너프/보고/이벤트/기능/신고/플레이어/확율/계정/발리/점수/일단/패치/안주/보상/개도/업뎃/사용/해결/자꾸/열기/채팅/이유/실력/이제/클랜/갑자기/데이터/관리/크로우/노잼/샌디/게임/가요/보스/스트레스/랜덤/매치/그냥/듀오/추가/업데이트/유도/친구/부탁/쉘리/레벨/조금/바로/무슨/망겜/자마자/캐릭터/원래/사기/현질/혼자/우리/재미/스타/파워/보석/상대/확률/로그인/다시/신화/전설/티밍/하라/서버/유저/아예/새끼/추천/앱스토어/트롤/진짜/정도/하나/프랭크/브롤/지면/핸드폰/수정/모드/스타즈/생각/비트/랭크/제발/버그/슈퍼셀/사람/진행/가지/다운/신규/거의/매칭/시간/오류/그거/해도/이번/트로피/레드/시스템/요즘/수준/때문/아이폰/개선/공격/브롤러/정말/프로/차이/문제/플레이/테이크다운/밸런스/상자/상태/계속/시작/경우/처음,안되요/새로운/빠르게/솔직히/없는데/이런/안녕하세요/좋은/없어요/안됨/있고/있는데/아니/아니면/같습니다/좋겠습니다/재미있게/없는/같은/없고/부탁드립니다/없네요/많습니다/입니다/어떻게/없습니다/있습니다/그러니/없어서/있는,만들어주세요/나오게/떠서/하지/하는게/하다/겁나/보면/고쳐/했습니다/들어/나오는/떨어지고/바랍니다/합니다/마세요/해도/나오고/늦게/뜨고/고쳐주세요/하는/하세요/나옴/걸리고/하고/해서/하게/했는데/만들고/나와요/뜨면서/해주세요/하면/하는데/나올/주세요/만들어
복합,레온/계속/요즘/계정/정말/그냥/스파이크/크로우/매칭/진짜/스킨/조금/파이/실력/방지/와이파이/티밍/시즌/스타즈/보상/현상/유도/움직/망겜/이름/모두/해결/보석/샌디/너프/버프/레드/확률/고치/감사/사람/무조건/아이디/한번/한가지/공격/부분/상대/캐릭/표시/사기/슈퍼셀/전설/때문/라면/패치/퍼셀/개선/주시/데이터/이상/갑자기/로사/댓글/예전/자체/플레이어/등등/버그/우리/모드/서버/수정/큐브/레벨/문제점/항상/하나/기능/생각/비트/실화/경우/신화/제대로/상자/시스템/브롤/점수/솔로/이유/개인/처음/참고/가끔/다운/거의/이번/문제/브록/질리/게임/유저/신규/대해/자주/랜덤/모든/꿀잼/이제/해도/친구/행운/듀오/부탁/가지/제발/마음/심지어/리뷰/조합/차이/다시/시작/캐릭터/다만/연결/로그인/상황/추가/매우/시간/연속/짜증/트로피/슈퍼/초보/승리/플레이/이후/가장/마지막/다음/화면/현재/사실/가요/랭크/재미/답변/정도/실망/버튼/신고/스타/아주/파워/자꾸/원래/그것/오늘/업데이트/토큰/초기/트롤/브롤러/이벤트/기분/그거/삭제/출시/밸런스/프랭크/또한/해주시/바로/완전/확인,없에/재밌고/같습니다/많은/재밌게/부탁드립니다/없음/새로운/있습니다/없고/재밌는/없어요/재미있습니다/같아요/아니/있어서/재밌어서/재미있어요/입니다/있게/있는데/좋은데/좋겠어요/심하고/재밌어요/같은/많은데/같네요/즐겁게/좋겠습니다/재밌긴/그런거/없어서/그래요/재미있는데/재밌는데/이런/좋은/많습니다/괜찮은데/없는/좋습니다/같은데/아니면/좋고/있고/좋겠음/재미있게/아니라/안녕하세요/있음/안될까/없어/있어요/좋아요/그럼/있는/없네요/어떻게/있어/좋겠네요/솔직히/있지만,걸리면/했습니다/고쳐주세요/감사합니다/나오고/보면/해주세요/하고/나올/뜨고/했는데/나오네요/나와서/해서/나와요/빼고/되는데/고쳐주시면/고쳐요/겁니다/드립니다/모아서/겁나/하는데/하지/하기/하면/건지/깠는데/않고/감사하겠습니다/만들어/걸리고/고쳐/뜨는/하는/떠서/하네요/하세요/맞게/해도/되고/되는/주세요/합니다/올려주세요/나오는/바랍니다/하게/해야/나오면/않아요
