,명사,형용사,동사
긍정,와이파이/전설/무료/트로피/플레이/스타즈/문제/브롤러/스킨/진짜/친구/공격/제작자/시작/최고/레온/아주/캐릭터/정말/요즘/유저/슈퍼셀/사람/브롤/생각/게임/추천/해도/완전/업데이트/화이팅/계속/다음/조금/스타/추가/보석/다운/레드/상자/처음/재미/크로우,좋아요/있습니다/있는/재밌고/재미있게/많은/좋겠어요/새로운/재미있고/재미있어요/좋고/좋은/재밌어요/있어요/이런,하고/하다/해주세요/했는데/해서/깔아/해도/나오고/되는/합니다/감사합니다/하면/하는
부정,버프/너프/데이터/잼민/플레이어/파워/동생/접속/이후/심지어/일부러/재미/사용/그게/와이파이/댓글/경고/점수/보석/상자/티켓/이번/뉴스/개도/처럼/인성/하루/점점/생기/중간/업데이트/과금/상대/친구/버튼/스킨/쓰레기/버퍼링/일부/설치/게속/포인트/하나/스타/비트/자꾸/모드/발생/레온/차이/신고/테이크다운/관리/하라/레벨/샌디/해결/처음/장사/상점/추가/버그/얼마나/그것/무슨/언제/플레이/계속/부터/요즘/공격/문제/레드/약간/한번/이유/저기/티밍/보스/똑바로/등급/그거/브롤/이름/매우/케릭/자체/망겜/리뷰/정지/스타즈/다운/오류/다시/이해/게임/확률/때문/보고/다음/이벤트/실수/랭크/이제/안주/고요/해주시/벨런스/피해/조금/리코/슈퍼셀/기능/이상/트롤/엠즈/그냥/캐릭/전설/진짜/생각/수정/파가/클럽/바로/현질/시스템/트로피/상대편/표시/정도/사람/스트레스/주시/영웅/삭제/신규/정말/코인/안나/설정/시간/보상/리기/밸런스/아예/실력/경우/해도/브롤러/우리/랜덤/패치/캐릭터/매칭/제발/유저,아니라/없고/부탁드립니다/이런/있는데/없네요/있지만/있으면/재미있는/있음/재밌게/좋겠네요/같은/아니고/빡쳐서/없음/있는/많은/낮은/솔직히/있습니다/없는/똑같은/안될까/없어서/어떻게/없는데/좋은/좋겠습니다/많고/같아요/안녕하세요/좋겠어요/있어요/입니다/같네요/없어요/같습니다/아니/좋을,됩니까/빼고/바랍니다/하기/들어/깠는데/주세요/해주세요/하세요/한다/뜨고/만들어/고쳐주세요/하고/하게/나와요/하다가/합니다/떠서/고쳐/만들어주세요/하는/고쳐주시면/않고/나오고/걸려서/감사하겠습니다/하는데/했는데/해서/나옴/없애주세요/하면/들어가서/끊김/해야/걸리고/보고/겁나/해도
복합,신규/연결/뉴스/자주/지면/한잔/모두/사랑/계정/이상/점수/추가/포인트/해결/패치/해주시/문제/보상/그냥/엠즈/예전/조금/보고/유저/크로우/요즘/시즌/삭제/스타/상대/재미/버튼/와이파이/수정/플레이/매칭/고치/해도/스킨/하나/계속/처음/우리/꿀잼/상자/샌디/랭크/브롤/리기/진짜/솔로/사람/트로피/캐릭터/때문/보석/다만/듀오/정도/부탁/티밍/업데이트/이유/그것/제발/항상/다운/레온/친구/가지/파워/티스/신화/레벨/스타즈/다시/신고/정말/슈퍼셀/레드/현질/바운티/브롤러/생각/사용/자꾸/아주/오늘/페니/확률/희귀/확인/트롤/기록/밸런스/공격/게임/문제점/전설,좋습니다/재미있어요/재밌어요/재밌는데/재밌게/아니/안녕하세요/높은/아니라/같습니다/있고/재미있는데/그럼/좋겠어요/낮은/없어요/부탁드려요/좋아요/있습니다/재미있습니다/어떻게/같아요/좋은/많은/많아요/있으면/재밌고/솔직히/입니다/같은/좋고/같네요/재미있는/좋겠네요/좋겠습니다/좋은데/다른건/재밌긴/같아/있는/있는데/이런/있어요/있어서,고쳐주시면/나와요/감사하겠습니다/들어/했으면/하세요/하겠습니다/해요/되는데/만들어/했어요/됩니다/했는데/하는/주셔서/해야/되는/나오고/하고/보니/해도/고쳐주세요/떠서/해주세요/하면/달려/되서/합니다/올려주세요/해서/되면/주세요/감사합니다/하게/하는데
