,명사,형용사,동사
긍정,조금/버그/유성우/계속/스타즈/시간/업데이트/슈퍼셀/와이파이/브롤러/궁극/쉘리/재미/추가/체력/생각/공격/너프/브롤/중간/설치/밸런스/발리/다시/화면/친구/레온/버프/게임/모드/시작/연동/진짜/정말/캐릭터/플레이/계정/이벤트/상자,같습니다/재미있는/좋겠습니다/부탁드립니다/새로운/입니다/좋겠어요/좋은,주세요/해주세요/하는/했는데/하는데/합니다/주셨으면/하면
부정,클래시/로얄/패치/상대/로딩/점수/플레이어/계정/연동/와이파이/연결/빵빵/탈퇴/신고/구입/플레이/다운/불량/캐릭터/보이/브롤러/기본/이상/트롤/솔로/경우/조이스틱/무슨/공격/서버/계속/기능/새끼/데이터/보석/겨우/캐릭/스파이크/영웅/티켓/구매/이벤트/금은/관리/현상/상태/벨런스/고정/그거/운영/이유/서로/표시/자주/기분/기기/현질/브롤/이후/희귀/과금/화면/문제/무과/상자/상황/핸드폰/시스템/굳이/사람/접속/토큰/전설/하나/콜트/유도/모드/레벨/친구/제발/똑바로/개도/특수/이동키/마이크/마지막/모바일/레온/모든/기존/최적화/거의/항상/아예/병신/자체/닉네임/업데이트/점검/별로/정말/실력/차이/결제/설정/오늘/확인/먼저/환불/수준/순간/게임/바로/추가/우리/궁극/수정/무한/아이템/오류/매우/일부러/개선/망겜/존나/한번/붕괴/변경/하루/이동/때문/발리/아이디/버튼/사기/아주/무조건/자동/고의/시작/부탁/심지어/재미/인터넷/진행/생각/게다가/처음/쉘리/조정/충전/속도/스타즈/또한/안주/보상/시간/처럼/네트워크/해결/스트레스/다시/수가/퍼셀/밸런스/슈퍼셀/보스/하자/컨트롤/랭크/갑자기/끼리/요즘/트로피/스타/파워/발생/가면/복구/업그레이드/확률/크로우/얼마나/방금/스킨/오지/유저/상점/너프/일단/전부/크게/대부분/삭제/불구/조치/거나/버그/처리/케릭/조금/이기/가지/일반/진짜/안드로이드/사용/혼자/그것/제대로/해도/하라/아이폰/출시/오히려/프랭크/리뷰/방법,같은/걸리고/안되요/없는/빡쳐서/아니라/없어도/이런거/있고/새로운/있는/안되고/아닙니까/재밌게/같은데/비슷한/어떻게/있지만/없습니다/어떤/같아요/아니면/있는데/좋겠습니다/없어/없고/입니다/좋은/그런/솔직히/아니/많은/이런/있음/같습니다/있으면/없으면/높은/있습니다/빠른/있어서/부탁드립니다,뜨고/할수/시키고/걸리고/되니까/끊기는/뜨면서/기를/고쳐주세요/바랍니다/해서/나오고/만나면/하여/하다/보니/됩니다/나옴/한다/주세요/걸려서/하게/하면서/해주세요/깔아도/모르겠네요/비해/하세요/쉽게/하자/멈추고/걸려요/해야/않는/하면/만들어주세요/하지/합니다/하는/되고/납니다/먹고/해도/해야지/하려고/한다고/건지/모아서/되는/하기/누르면/뜨는데/떠요/만들어/않고/하는데/끊김/했는데/켜도/하고/되지/보면/않은
복합,설정/기대/쉘리/확률/문의/고치/네트워크/가끔/표시/역시/거의/페이스북/초희/이후/레온/컨트롤/사실/설치/스타즈/오늘/속도/이동/트로피/매칭/제시/과금/계정/답변/이번/성능/버튼/리뷰/점검/정말/영웅/조작/이유/댓글/다시/신고/확인/너프/인터넷/버프/컨텐츠/원거리/이벤트/갑자기/화면/공격/브롤/체력/티스/모드/이동속도/상태/기능/불구/사람/마이크/삭제/진행/서버/라면/재미/티밍/움직임/전설/스타/문제/업데이트/해주시/게임/스킨/상자/제발/빵빵/유저/정도/대한/심해/실력/사용/그것/사기/연결/파워/상대편/데미지/지속/자신/친구/퍼셀/발리/개성/중간/개선/현질/튕겨/상황/상점/시작/자꾸/모바일/궁극/그냥/플레이어/현상/자동/시스템/문제점/밸런스/희귀/유닛/우리/핸드폰/바로/조금/때문/생각/부분/버그/별로/그래픽/경우/브롤러/채팅/데이터/트롤/이상/오류/수정/차이/일단/무적/결제/하나/원래/레벨/그거/초반/튕기/보석/플레이/해도/팀운/패치/계속/가지/무료/이스트/거나/한번/자체/다운/아주/유도/추가/상대/캐릭터/다만/캐릭/진짜/보상/해결/슈퍼셀,있고/좋습니다/재밌습니다/있네요/굉장히/아니라/심합니다/다양한/솔직히/아니면/좋고/재미있는/안될까/어떻게/재미있는데/같습니다/같아요/있으면/좋은/있는/많은/재밌어요/있어요/아니고/그럼/좋겠네요/같고/재밌게/재밌고/원하는/없음/입니다/힘듭니다/부탁드립니다/재미있게/있음/없고/좋은데/이런/빠른/있는데/재밌는데/아니/재미있습니다/재미있어요/있을/좋겠습니다/그렇고/있습니다/좋아요/같은/좋겠어요/같은데,하고/하기/나올/보면/하다/얻고/봅니다/하는/되는/않는/바랍니다/나오는/해서/하다가/나오고/걸림/끊기고/고쳐주세요/하면서/주세요/클오/나가는/얻는/하는데/했다/해야/만나면/되면/하지/나서/해도/뜨면서/해주세요/합니다/감사합니다/누르면/걸리고/뜨고/걸려서/하면/했는데
